Image: contamination_4.jpg, True: broken-small, Pred: broken-small
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: good
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: broken-small
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: good
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-small
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-large
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-large
Image: broken_small_15.jpg, True: broken-small, Pred: broken-small
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-large
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-large
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: contamination
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-small
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: broken-small
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: contamination
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: broken-small
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: good
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-small
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-large
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-small
Image: broken_small_15.jpg, True: broken-small, Pred: broken-small
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-large
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-large
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: contamination
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-large
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: good
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: good
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: broken-small
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: good
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-small
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-large
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-large
Image: broken_small_15.jpg, True: broken-small, Pred: broken-small
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-large
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-small
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: good
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-small
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: broken-small
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: good
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: good
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: contamination
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-small
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-small
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-large
Image: broken_small_15.jpg, True: broken-small, Pred: broken-small
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-small
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-small
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: contamination
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-large
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: broken-small
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: good
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-large
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: broken-large
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: good
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-large
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-large
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-small
Image: broken_small_15.jpg, True: broken-small, Pred: broken-large
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-large
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-large
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: contamination
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-small
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: broken-small
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: contamination
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
Image: contamination_20.jpg, True: contamination, Pred: broken-small
Image: contamination_18.jpg, True: contamination, Pred: contamination
Image: good_12.jpg, True: good, Pred: good
Image: good_13.jpg, True: good, Pred: good
Image: contamination_19.jpg, True: contamination, Pred: good
Image: good_11.jpg, True: good, Pred: good
Image: good_10.jpg, True: good, Pred: good
Image: contamination_17.jpg, True: contamination, Pred: contamination
Image: contamination_16.jpg, True: contamination, Pred: contamination
Image: contamination_14.jpg, True: contamination, Pred: contamination
Image: contamination_15.jpg, True: contamination, Pred: contamination
Image: contamination_11.jpg, True: contamination, Pred: contamination
Image: contamination_10.jpg, True: contamination, Pred: contamination
Image: contamination_12.jpg, True: contamination, Pred: contamination
Image: good_18.jpg, True: good, Pred: good
Image: good_19.jpg, True: good, Pred: good
Image: contamination_13.jpg, True: contamination, Pred: contamination
Image: broken_large_1.jpg, True: broken-large, Pred: broken-large
Image: broken_large_16.jpg, True: broken-large, Pred: broken-large
Image: broken_small_13.jpg, True: broken-small, Pred: broken-small
Image: broken_small_12.jpg, True: broken-small, Pred: broken-small
Image: broken_large_17.jpg, True: broken-large, Pred: broken-large
Image: broken_large_0.jpg, True: broken-large, Pred: broken-large
Image: broken_large_2.jpg, True: broken-large, Pred: broken-large
Image: broken_large_15.jpg, True: broken-large, Pred: broken-large
Image: broken_small_10.jpg, True: broken-small, Pred: broken-small
Image: broken_small_11.jpg, True: broken-small, Pred: broken-small
Image: broken_large_14.jpg, True: broken-large, Pred: broken-large
Image: broken_large_3.jpg, True: broken-large, Pred: broken-large
Image: broken_large_7.jpg, True: broken-large, Pred: broken-large
Image: broken_small_15.jpg, True: broken-small, Pred: broken-small
Image: broken_large_10.jpg, True: broken-large, Pred: broken-large
Image: broken_large_11.jpg, True: broken-large, Pred: broken-large
Image: broken_small_14.jpg, True: broken-small, Pred: broken-small
Image: broken_large_6.jpg, True: broken-large, Pred: broken-large
Image: contamination_8.jpg, True: contamination, Pred: contamination
Image: good_9.jpg, True: good, Pred: good
Image: broken_large_4.jpg, True: broken-large, Pred: broken-large
Image: broken_small_16.jpg, True: broken-small, Pred: broken-small
Image: broken_small_9.jpg, True: broken-small, Pred: broken-small
Image: broken_large_13.jpg, True: broken-large, Pred: broken-large
Image: broken_large_12.jpg, True: broken-large, Pred: broken-large
Image: broken_small_8.jpg, True: broken-small, Pred: broken-small
Image: broken_small_17.jpg, True: broken-small, Pred: broken-small
Image: broken_large_5.jpg, True: broken-large, Pred: broken-large
Image: good_8.jpg, True: good, Pred: good
Image: contamination_9.jpg, True: contamination, Pred: contamination
Image: contamination_4.jpg, True: contamination, Pred: contamination
Image: good_5.jpg, True: good, Pred: good
Image: broken_large_8.jpg, True: broken-large, Pred: broken-large
Image: broken_small_5.jpg, True: broken-small, Pred: broken-small
Image: broken_small_4.jpg, True: broken-small, Pred: broken-small
Image: broken_large_9.jpg, True: broken-large, Pred: broken-large
Image: good_4.jpg, True: good, Pred: good
Image: contamination_5.jpg, True: contamination, Pred: contamination
Image: contamination_7.jpg, True: contamination, Pred: contamination
Image: good_6.jpg, True: good, Pred: good
Image: broken_small_19.jpg, True: broken-small, Pred: broken-small
Image: broken_small_6.jpg, True: broken-small, Pred: broken-small
Image: broken_small_7.jpg, True: broken-small, Pred: broken-small
Image: broken_small_18.jpg, True: broken-small, Pred: broken-small
Image: good_7.jpg, True: good, Pred: good
Image: contamination_6.jpg, True: contamination, Pred: contamination
Image: good_3.jpg, True: good, Pred: good
Image: contamination_2.jpg, True: contamination, Pred: contamination
Image: broken_small_20.jpg, True: broken-small, Pred: broken-small
Image: broken_large_19.jpg, True: broken-large, Pred: broken-large
Image: broken_small_3.jpg, True: broken-small, Pred: broken-small
Image: broken_small_2.jpg, True: broken-small, Pred: broken-small
Image: broken_small_21.jpg, True: broken-small, Pred: broken-small
Image: broken_large_18.jpg, True: broken-large, Pred: broken-large
Image: contamination_3.jpg, True: contamination, Pred: contamination
Image: good_2.jpg, True: good, Pred: good
Image: good_0.jpg, True: good, Pred: good
Image: contamination_1.jpg, True: contamination, Pred: contamination
Image: broken_small_0.jpg, True: broken-small, Pred: broken-small
Image: broken_small_1.jpg, True: broken-small, Pred: broken-small
Image: contamination_0.jpg, True: contamination, Pred: contamination
Image: good_1.jpg, True: good, Pred: good
Image: good_14.jpg, True: good, Pred: good
Image: good_15.jpg, True: good, Pred: good
Image: good_17.jpg, True: good, Pred: good
Image: good_16.jpg, True: good, Pred: good
